Concurso,Dia,Mes,Ano,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Bola16,Bola17,Bola18,Bola19,Bola20
1913,26,10,18,7,13,21,29,30,31,42,43,51,53,63,64,67,69,74,77,83,89,92,98
1914,30,10,18,0,2,5,6,14,18,19,24,25,30,42,47,66,67,73,81,89,91,95,97
1915,3,11,18,7,13,16,33,38,40,42,44,56,57,61,64,65,67,74,75,80,84,89,96
1916,6,11,18,3,16,17,26,31,33,36,42,43,52,55,59,61,69,71,75,86,89,94,99
1917,9,11,18,0,1,3,5,8,20,30,33,38,49,50,52,59,61,70,78,83,90,97,99
1918,13,11,18,1,7,26,31,35,40,44,46,47,59,64,65,67,79,83,90,92,94,95,97
1919,16,11,18,4,5,6,13,16,37,40,43,46,50,51,57,59,68,73,75,83,86,93,95
1920,20,11,18,2,9,10,13,30,34,35,42,48,49,53,60,66,72,79,87,88,90,93,99
1921,23,11,18,1,3,7,24,38,40,48,53,54,62,68,75,82,83,85,87,91,92,94,95
1922,27,11,18,2,5,11,13,24,26,29,38,43,44,45,48,53,57,58,82,86,88,90,95
1923,30,11,18,2,17,20,24,26,29,38,58,64,66,68,70,78,79,80,81,82,87,88,93
1924,4,12,18,1,10,12,21,27,28,29,38,42,49,64,65,66,67,68,71,72,73,88,93
1925,7,12,18,2,3,5,7,8,10,11,12,16,17,33,40,43,50,56,65,66,80,84,89
1926,11,12,18,2,10,12,17,18,28,32,33,36,44,46,50,58,64,67,68,69,71,75,99
1927,14,12,18,2,8,9,15,20,25,35,40,42,48,59,60,61,72,77,81,83,84,86,99
1928,18,12,18,0,11,12,20,33,35,37,38,40,43,45,47,62,66,73,76,81,85,94,99
1929,21,12,18,6,12,14,16,27,32,42,48,52,61,63,69,71,77,78,84,88,89,90,99
1930,26,12,18,15,20,22,29,37,38,42,49,52,54,55,59,65,68,75,76,84,94,97,99
1931,28,12,18,1,9,12,13,28,32,39,46,50,61,63,64,66,79,83,85,88,90,94,99
1932,4,1,19,1,4,5,9,11,15,19,30,35,38,45,60,70,71,79,81,84,91,92,94
1933,8,1,19,0,3,5,8,16,18,21,23,29,30,32,36,43,54,58,59,71,72,86,98
1934,11,1,19,11,14,26,28,29,30,36,46,47,48,62,73,80,83,84,85,86,88,95,98
1935,15,1,19,11,13,21,24,32,34,37,40,44,45,51,54,55,59,65,73,85,86,90,93
1936,18,1,19,10,15,18,20,25,28,29,44,48,52,55,57,63,64,70,77,88,89,91,97
1937,22,1,19,2,9,11,16,17,25,27,31,46,47,50,56,65,68,72,75,76,80,87,97
1938,25,1,19,0,5,13,17,27,32,33,34,35,38,45,47,51,58,63,71,83,88,89,91
1939,29,1,19,2,3,7,10,11,16,18,23,24,25,27,29,30,34,41,46,55,60,81,83
1940,1,2,19,0,14,19,22,30,31,32,35,43,47,48,62,70,74,76,83,84,87,96,99
1941,5,2,19,10,11,14,21,29,34,41,46,48,58,61,68,69,70,72,81,91,94,96,97
1942,8,2,19,2,3,6,9,10,15,19,23,24,40,49,51,56,61,80,88,91,93,94,96
1943,12,2,19,0,10,19,24,31,35,38,41,42,46,47,49,55,64,65,76,84,85,86,92
1944,15,2,19,5,8,9,11,12,17,26,30,37,38,43,57,63,64,72,74,84,85,87,94
1945,20,2,19,1,2,6,10,12,13,24,29,36,39,44,45,47,48,52,55,58,64,75,84
1946,22,2,19,8,13,14,15,17,27,35,46,50,51,52,65,70,76,80,86,93,97,98,99
1947,26,2,19,0,11,13,21,29,30,33,35,50,51,60,63,70,73,77,87,90,91,96,99
1948,1,3,19,3,6,7,13,20,21,22,29,35,50,52,53,65,73,82,83,86,87,91,95
1949,6,3,19,0,1,4,5,8,10,16,38,47,48,51,64,67,75,76,77,78,83,85,97
1950,8,3,19,3,9,12,13,15,20,26,28,33,37,44,46,60,61,62,68,85,88,90,98
1951,12,3,19,6,11,12,13,19,23,26,37,42,47,52,53,64,68,70,71,72,77,86,96
1952,15,3,19,8,9,18,21,27,31,33,34,42,43,45,59,66,70,72,75,80,84,90,94
1953,19,3,19,0,7,20,23,31,34,35,36,53,54,58,59,65,71,83,87,94,95,98,99
1954,22,3,19,0,1,2,11,21,25,31,38,44,55,59,64,67,68,70,74,78,79,89,90
1955,26,3,19,5,16,18,19,21,23,27,34,35,36,38,39,40,45,46,49,57,71,91,96
1956,29,3,19,3,14,18,37,38,42,44,52,61,62,69,73,74,78,88,90,92,93,94,99
1957,2,4,19,8,11,12,19,33,35,38,45,46,53,57,59,61,64,82,83,89,92,93,94
1958,5,4,19,2,4,6,10,11,15,22,28,34,36,38,46,48,53,61,63,77,80,87,99
1959,9,4,19,2,6,16,17,20,29,30,33,37,44,45,52,60,63,70,74,75,81,92,99
1960,12,4,19,6,10,11,12,26,30,31,38,43,45,54,67,69,77,79,82,84,91,92,99
1961,16,4,19,8,9,11,12,13,17,26,33,37,41,51,58,63,65,68,77,80,86,89,90
1962,20,4,19,0,1,7,13,21,24,25,32,34,36,37,50,54,60,61,73,80,92,93,98
1963,23,4,19,8,9,19,30,36,40,42,53,54,55,59,62,63,66,71,74,87,88,97,99
1964,26,4,19,8,9,17,22,24,34,35,43,49,52,56,57,58,67,75,81,83,91,93,96
1965,30,4,19,9,12,13,18,22,32,34,41,51,53,56,66,70,80,82,85,94,95,98,99
1966,3,5,19,6,7,11,18,19,24,38,42,47,48,56,58,63,65,68,73,77,79,81,90
